Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"16,17",Melanoma of skin; Non-melanoma skin cancer,170,Colombia,2,0,2193,2045,4454,2261,103.1008,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,170,Colombia,2,0,2193,2050,4984,2791,127.2686,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,174,Comoros,2,0,12,2022,12,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,174,Comoros,2,0,12,2025,13,1,8.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,174,Comoros,2,0,12,2030,14,2,16.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,174,Comoros,2,0,12,2035,17,5,41.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,174,Comoros,2,0,12,2040,18,6,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,174,Comoros,2,0,12,2045,20,8,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,174,Comoros,2,0,12,2050,23,11,91.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,178,"Congo, Republic of",2,0,26,2022,26,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,178,"Congo, Republic of",2,0,26,2025,30,4,15.3846,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,178,"Congo, Republic of",2,0,26,2030,36,10,38.4615,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,178,"Congo, Republic of",2,0,26,2035,42,16,61.5385,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,178,"Congo, Republic of",2,0,26,2040,49,23,88.4615,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,178,"Congo, Republic of",2,0,26,2045,57,31,119.2308,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,178,"Congo, Republic of",2,0,26,2050,66,40,153.8462,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,180,"Congo, Democratic Republic of",2,0,567,2022,567,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,180,"Congo, Democratic Republic of",2,0,567,2025,630,63,11.1111,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,180,"Congo, Democratic Republic of",2,0,567,2030,745,178,31.3933,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,180,"Congo, Democratic Republic of",2,0,567,2035,883,316,55.7319,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,180,"Congo, Democratic Republic of",2,0,567,2040,1047,480,84.6561,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,180,"Congo, Democratic Republic of",2,0,567,2045,1243,676,119.224,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,180,"Congo, Democratic Republic of",2,0,567,2050,1477,910,160.4938,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,188,Costa Rica,2,0,711,2022,711,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,188,Costa Rica,2,0,711,2025,763,52,7.3136,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,188,Costa Rica,2,0,711,2030,925,214,30.0985,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,188,Costa Rica,2,0,711,2035,1106,395,55.5556,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,188,Costa Rica,2,0,711,2040,1299,588,82.7004,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,188,Costa Rica,2,0,711,2045,1491,780,109.7046,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,188,Costa Rica,2,0,711,2050,1667,956,134.4585,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,191,Croatia,2,0,1054,2022,1054,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,191,Croatia,2,0,1054,2025,1038,-16,-1.518,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,191,Croatia,2,0,1054,2030,1060,6,0.5693,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,191,Croatia,2,0,1054,2035,1118,64,6.0721,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,191,Croatia,2,0,1054,2040,1178,124,11.7647,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,191,Croatia,2,0,1054,2045,1208,154,14.611,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,191,Croatia,2,0,1054,2050,1203,149,14.1366,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,192,Cuba,2,0,1728,2022,1728,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,192,Cuba,2,0,1728,2025,1778,50,2.8935,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,192,Cuba,2,0,1728,2030,1978,250,14.4676,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,192,Cuba,2,0,1728,2035,2180,452,26.1574,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,192,Cuba,2,0,1728,2040,2378,650,37.6157,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,192,Cuba,2,0,1728,2045,2554,826,47.8009,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,192,Cuba,2,0,1728,2050,2679,951,55.0347,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,196,Cyprus,2,0,185,2022,185,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,196,Cyprus,2,0,185,2025,206,21,11.3514,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,196,Cyprus,2,0,185,2030,239,54,29.1892,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,196,Cyprus,2,0,185,2035,273,88,47.5676,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,196,Cyprus,2,0,185,2040,309,124,67.027,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,196,Cyprus,2,0,185,2045,350,165,89.1892,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,196,Cyprus,2,0,185,2050,391,206,111.3514,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,203,Czechia,2,0,3386,2022,3386,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,203,Czechia,2,0,3386,2025,3437,51,1.5062,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,203,Czechia,2,0,3386,2030,3681,295,8.7123,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,203,Czechia,2,0,3386,2035,3837,451,13.3196,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,203,Czechia,2,0,3386,2040,3876,490,14.4714,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,203,Czechia,2,0,3386,2045,3890,504,14.8848,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,203,Czechia,2,0,3386,2050,3971,585,17.277,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,204,Benin,2,0,76,2022,76,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,204,Benin,2,0,76,2025,82,6,7.8947,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,204,Benin,2,0,76,2030,97,21,27.6316,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,204,Benin,2,0,76,2035,116,40,52.6316,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,204,Benin,2,0,76,2040,137,61,80.2632,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,204,Benin,2,0,76,2045,161,85,111.8421,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,204,Benin,2,0,76,2050,189,113,148.6842,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,208,Denmark,2,0,3769,2022,3769,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,208,Denmark,2,0,3769,2025,4002,233,6.182,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,208,Denmark,2,0,3769,2030,4323,554,14.6989,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,208,Denmark,2,0,3769,2035,4567,798,21.1727,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,208,Denmark,2,0,3769,2040,4753,984,26.1077,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,208,Denmark,2,0,3769,2045,4935,1166,30.9366,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,208,Denmark,2,0,3769,2050,5114,1345,35.6859,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,214,Dominican Republic,2,0,168,2022,168,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,214,Dominican Republic,2,0,168,2025,178,10,5.9524,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,214,Dominican Republic,2,0,168,2030,196,28,16.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,214,Dominican Republic,2,0,168,2035,216,48,28.5714,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,214,Dominican Republic,2,0,168,2040,237,69,41.0714,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,214,Dominican Republic,2,0,168,2045,259,91,54.1667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,214,Dominican Republic,2,0,168,2050,280,112,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,218,Ecuador,2,0,868,2022,868,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,218,Ecuador,2,0,868,2025,946,78,8.9862,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,218,Ecuador,2,0,868,2030,1143,275,31.682,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,218,Ecuador,2,0,868,2035,1373,505,58.1797,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,218,Ecuador,2,0,868,2040,1631,763,87.9032,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,218,Ecuador,2,0,868,2045,1911,1043,120.1613,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,218,Ecuador,2,0,868,2050,2209,1341,154.4931,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,222,El Salvador,2,0,121,2022,121,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,222,El Salvador,2,0,121,2025,118,-3,-2.4793,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,222,El Salvador,2,0,121,2030,137,16,13.2231,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,222,El Salvador,2,0,121,2035,158,37,30.5785,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,222,El Salvador,2,0,121,2040,183,62,51.2397,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,222,El Salvador,2,0,121,2045,210,89,73.5537,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,222,El Salvador,2,0,121,2050,240,119,98.3471,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,226,Equatorial Guinea,2,0,10,2022,10,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,226,Equatorial Guinea,2,0,10,2025,16,6,60,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,226,Equatorial Guinea,2,0,10,2030,18,8,80,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,226,Equatorial Guinea,2,0,10,2035,21,11,110,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,226,Equatorial Guinea,2,0,10,2040,26,16,160,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,226,Equatorial Guinea,2,0,10,2045,31,21,210,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,226,Equatorial Guinea,2,0,10,2050,35,25,250,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,231,Ethiopia,2,0,1554,2022,1554,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,231,Ethiopia,2,0,1554,2025,1716,162,10.4247,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,231,Ethiopia,2,0,1554,2030,2067,513,33.0116,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,231,Ethiopia,2,0,1554,2035,2480,926,59.5882,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,231,Ethiopia,2,0,1554,2040,2961,1407,90.5405,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,231,Ethiopia,2,0,1554,2045,3510,1956,125.8687,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,231,Ethiopia,2,0,1554,2050,4129,2575,165.7014,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,232,Eritrea,2,0,37,2022,37,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,232,Eritrea,2,0,37,2025,41,4,10.8108,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,232,Eritrea,2,0,37,2030,47,10,27.027,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,232,Eritrea,2,0,37,2035,54,17,45.9459,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,232,Eritrea,2,0,37,2040,63,26,70.2703,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,232,Eritrea,2,0,37,2045,73,36,97.2973,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,232,Eritrea,2,0,37,2050,84,47,127.027,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,233,Estonia,2,0,264,2022,264,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,233,Estonia,2,0,264,2025,266,2,0.7576,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,233,Estonia,2,0,264,2030,268,4,1.5152,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,233,Estonia,2,0,264,2035,272,8,3.0303,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,233,Estonia,2,0,264,2040,274,10,3.7879,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,233,Estonia,2,0,264,2045,275,11,4.1667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,233,Estonia,2,0,264,2050,273,9,3.4091,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,242,Fiji,2,0,9,2022,9,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,242,Fiji,2,0,9,2025,10,1,11.1111,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,242,Fiji,2,0,9,2030,12,3,33.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,242,Fiji,2,0,9,2035,13,4,44.4444,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,242,Fiji,2,0,9,2040,15,6,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,242,Fiji,2,0,9,2045,16,7,77.7778,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,242,Fiji,2,0,9,2050,18,9,100,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,246,Finland,2,0,2220,2022,2220,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,246,Finland,2,0,2220,2025,2311,91,4.0991,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,246,Finland,2,0,2220,2030,2494,274,12.3423,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,246,Finland,2,0,2220,2035,2649,429,19.3243,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,246,Finland,2,0,2220,2040,2720,500,22.5225,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,246,Finland,2,0,2220,2045,2739,519,23.3784,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,246,Finland,2,0,2220,2050,2742,522,23.5135,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,250,France (metropolitan),2,0,27443,2022,27443,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,250,France (metropolitan),2,0,27443,2025,28550,1107,4.0338,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,250,France (metropolitan),2,0,27443,2030,30868,3425,12.4804,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,250,France (metropolitan),2,0,27443,2035,33600,6157,22.4356,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,250,France (metropolitan),2,0,27443,2040,35791,8348,30.4194,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,250,France (metropolitan),2,0,27443,2045,37274,9831,35.8233,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,250,France (metropolitan),2,0,27443,2050,38328,10885,39.664,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,254,French Guyana,2,0,13,2022,13,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,254,French Guyana,2,0,13,2025,14,1,7.6923,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,254,French Guyana,2,0,13,2030,17,4,30.7692,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,254,French Guyana,2,0,13,2035,20,7,53.8462,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,254,French Guyana,2,0,13,2040,22,9,69.2308,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,254,French Guyana,2,0,13,2045,24,11,84.6154,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,254,French Guyana,2,0,13,2050,27,14,107.6923,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,258,French Polynesia,2,0,10,2022,10,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,258,French Polynesia,2,0,10,2025,12,2,20,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,258,French Polynesia,2,0,10,2030,14,4,40,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,258,French Polynesia,2,0,10,2035,15,5,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,258,French Polynesia,2,0,10,2040,16,6,60,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,258,French Polynesia,2,0,10,2045,17,7,70,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,258,French Polynesia,2,0,10,2050,18,8,80,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,262,Djibouti,2,0,9,2022,9,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,262,Djibouti,2,0,9,2025,11,2,22.2222,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,262,Djibouti,2,0,9,2030,13,4,44.4444,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,262,Djibouti,2,0,9,2035,15,6,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,262,Djibouti,2,0,9,2040,17,8,88.8889,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,262,Djibouti,2,0,9,2045,19,10,111.1111,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,262,Djibouti,2,0,9,2050,21,12,133.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,266,Gabon,2,0,27,2022,27,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,266,Gabon,2,0,27,2025,32,5,18.5185,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,266,Gabon,2,0,27,2030,37,10,37.037,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,266,Gabon,2,0,27,2035,44,17,62.963,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,266,Gabon,2,0,27,2040,51,24,88.8889,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,266,Gabon,2,0,27,2045,59,32,118.5185,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,266,Gabon,2,0,27,2050,67,40,148.1481,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,268,Georgia,2,0,421,2022,421,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,268,Georgia,2,0,421,2025,386,-35,-8.3135,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,268,Georgia,2,0,421,2030,408,-13,-3.0879,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,268,Georgia,2,0,421,2035,439,18,4.2755,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,268,Georgia,2,0,421,2040,468,47,11.1639,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,268,Georgia,2,0,421,2045,486,65,15.4394,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,268,Georgia,2,0,421,2050,493,72,17.1021,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,270,The Republic of the Gambia,2,0,3,2022,3,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,270,The Republic of the Gambia,2,0,3,2025,4,1,33.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,270,The Republic of the Gambia,2,0,3,2030,5,2,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,270,The Republic of the Gambia,2,0,3,2035,5,2,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,270,The Republic of the Gambia,2,0,3,2040,6,3,100,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,270,The Republic of the Gambia,2,0,3,2045,7,4,133.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,270,The Republic of the Gambia,2,0,3,2050,9,6,200,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,275,Gaza Strip and West Bank,2,0,29,2022,29,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,275,Gaza Strip and West Bank,2,0,29,2025,32,3,10.3448,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,275,Gaza Strip and West Bank,2,0,29,2030,40,11,37.931,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,275,Gaza Strip and West Bank,2,0,29,2035,47,18,62.069,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,275,Gaza Strip and West Bank,2,0,29,2040,55,26,89.6552,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,275,Gaza Strip and West Bank,2,0,29,2045,66,37,127.5862,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,275,Gaza Strip and West Bank,2,0,29,2050,76,47,162.069,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,276,Germany,2,0,40727,2022,40727,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,276,Germany,2,0,40727,2025,42130,1403,3.4449,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,276,Germany,2,0,40727,2030,43898,3171,7.786,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,276,Germany,2,0,40727,2035,46224,5497,13.4972,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,276,Germany,2,0,40727,2040,48985,8258,20.2765,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,276,Germany,2,0,40727,2045,51470,10743,26.3781,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,276,Germany,2,0,40727,2050,52682,11955,29.354,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,288,Ghana,2,0,152,2022,152,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,288,Ghana,2,0,152,2025,186,34,22.3684,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,288,Ghana,2,0,152,2030,216,64,42.1053,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,288,Ghana,2,0,152,2035,242,90,59.2105,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,288,Ghana,2,0,152,2040,278,126,82.8947,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,288,Ghana,2,0,152,2045,327,175,115.1316,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,288,Ghana,2,0,152,2050,375,223,146.7105,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,300,Greece,2,0,1781,2022,1781,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,300,Greece,2,0,1781,2025,1782,1,0.0561,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,300,Greece,2,0,1781,2030,1909,128,7.187,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,300,Greece,2,0,1781,2035,2023,242,13.5879,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,300,Greece,2,0,1781,2040,2146,365,20.4941,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,300,Greece,2,0,1781,2045,2255,474,26.6143,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,300,Greece,2,0,1781,2050,2336,555,31.1623,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,312,"France, Guadeloupe",2,0,44,2022,44,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,312,"France, Guadeloupe",2,0,44,2025,46,2,4.5455,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,312,"France, Guadeloupe",2,0,44,2030,50,6,13.6364,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,312,"France, Guadeloupe",2,0,44,2035,55,11,25,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,312,"France, Guadeloupe",2,0,44,2040,60,16,36.3636,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,312,"France, Guadeloupe",2,0,44,2045,64,20,45.4545,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,312,"France, Guadeloupe",2,0,44,2050,66,22,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,316,Guam,2,0,0,2022,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,316,Guam,2,0,0,2025,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,316,Guam,2,0,0,2030,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,316,Guam,2,0,0,2035,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,316,Guam,2,0,0,2040,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,316,Guam,2,0,0,2045,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,316,Guam,2,0,0,2050,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,320,Guatemala,2,0,305,2022,305,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,320,Guatemala,2,0,305,2025,298,-7,-2.2951,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,320,Guatemala,2,0,305,2030,358,53,17.377,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,320,Guatemala,2,0,305,2035,434,129,42.2951,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,320,Guatemala,2,0,305,2040,522,217,71.1475,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,320,Guatemala,2,0,305,2045,622,317,103.9344,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,320,Guatemala,2,0,305,2050,738,433,141.9672,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,324,Guinea,2,0,170,2022,170,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,324,Guinea,2,0,170,2025,190,20,11.7647,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,324,Guinea,2,0,170,2030,220,50,29.4118,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,324,Guinea,2,0,170,2035,256,86,50.5882,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,324,Guinea,2,0,170,2040,297,127,74.7059,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,324,Guinea,2,0,170,2045,345,175,102.9412,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,324,Guinea,2,0,170,2050,403,233,137.0588,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,328,Guyana,2,0,0,2022,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,328,Guyana,2,0,0,2025,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,328,Guyana,2,0,0,2030,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,328,Guyana,2,0,0,2035,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,328,Guyana,2,0,0,2040,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,328,Guyana,2,0,0,2045,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,328,Guyana,2,0,0,2050,0,0,,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,332,Haiti,2,0,71,2022,71,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,332,Haiti,2,0,71,2025,64,-7,-9.8592,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,332,Haiti,2,0,71,2030,73,2,2.8169,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,332,Haiti,2,0,71,2035,83,12,16.9014,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,332,Haiti,2,0,71,2040,94,23,32.3944,0
