Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"16,17",Melanoma of skin; Non-melanoma skin cancer,40,Austria,2,0,3281,2022,3281,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,40,Austria,2,0,3281,2025,3401,120,3.6574,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,40,Austria,2,0,3281,2030,3672,391,11.9171,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,40,Austria,2,0,3281,2035,3949,668,20.3596,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,40,Austria,2,0,3281,2040,4284,1003,30.5699,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,40,Austria,2,0,3281,2045,4647,1366,41.6336,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,40,Austria,2,0,3281,2050,4919,1638,49.9238,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,44,Bahamas,2,0,6,2022,6,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,44,Bahamas,2,0,6,2025,7,1,16.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,44,Bahamas,2,0,6,2030,9,3,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,44,Bahamas,2,0,6,2035,11,5,83.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,44,Bahamas,2,0,6,2040,14,8,133.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,44,Bahamas,2,0,6,2045,16,10,166.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,44,Bahamas,2,0,6,2050,17,11,183.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,48,Bahrain,2,0,3,2022,3,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,48,Bahrain,2,0,3,2025,3,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,48,Bahrain,2,0,3,2030,3,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,48,Bahrain,2,0,3,2035,4,1,33.3333,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,48,Bahrain,2,0,3,2040,5,2,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,48,Bahrain,2,0,3,2045,5,2,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,48,Bahrain,2,0,3,2050,5,2,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,50,Bangladesh,2,0,639,2022,639,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,50,Bangladesh,2,0,639,2025,738,99,15.493,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,50,Bangladesh,2,0,639,2030,901,262,41.0016,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,50,Bangladesh,2,0,639,2035,1092,453,70.892,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,50,Bangladesh,2,0,639,2040,1303,664,103.9124,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,50,Bangladesh,2,0,639,2045,1542,903,141.3146,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,50,Bangladesh,2,0,639,2050,1809,1170,183.0986,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,51,Armenia,2,0,101,2022,101,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,51,Armenia,2,0,101,2025,113,12,11.8812,0
