age_slot,country,gender_slug,phototype_slug,protect,expo,count,protect_percent,expo_percent
0-19,UNITED ARAB EMIRATES,male,iii_iv,0,4,4,0.0,100.0
0-19,UNITED ARAB EMIRATES,male,i_ii,3,8,9,33.33333333333333,88.88888888888889
0-19,UNITED ARAB EMIRATES,male,v_vi,0,1,1,0.0,100.0
0-19,UNITED ARAB EMIRATES,female,iii_iv,0,2,2,0.0,100.0
0-19,UNITED ARAB EMIRATES,female,i_ii,0,1,2,0.0,50.0
0-19,UNITED ARAB EMIRATES,female,v_vi,0,0,0,0.0,0.0
0-19,PORTUGAL,male,iii_iv,1,6,11,9.090909090909092,54.54545454545454
0-19,PORTUGAL,male,i_ii,2,8,12,16.666666666666664,66.66666666666666
0-19,PORTUGAL,male,v_vi,0,3,4,0.0,75.0
0-19,PORTUGAL,female,iii_iv,2,5,15,13.333333333333334,33.33333333333333
0-19,PORTUGAL,female,i_ii,0,1,7,0.0,14.285714285714285
0-19,PORTUGAL,female,v_vi,1,3,3,33.33333333333333,100.0
0-19,SENEGAL,male,iii_iv,0,1,5,0.0,20.0
0-19,SENEGAL,male,i_ii,0,0,0,0.0,0.0
0-19,SENEGAL,male,v_vi,1,6,12,8.333333333333332,50.0
0-19,SENEGAL,female,iii_iv,0,3,4,0.0,75.0
0-19,SENEGAL,female,i_ii,0,0,1,0.0,0.0
0-19,SENEGAL,female,v_vi,0,4,8,0.0,50.0
