Pays,Lon,Lat,Globocan,Flags,pourcentage,yearly_shunshine_hour
Dominican Republic,-70.0,19.0,Dominican Republic,République Dominicaine,1.42,26.28
Ecuador,-78.0,-1.5,Ecuador,Equateur,3.84,61.32
Egypt,30.0,26.0,Egypt,Egypte,2.29,52.56
El Salvador,-88.0,13.0,El Salvador,Salvador,0.4,8.76
Equatorial Guinea,10.0,2.0,Equatorial Guinea,Guinee equatoriale,-2.06,-35.04
Eritrea,39.0,15.0,Eritrea,Erythrée,-2.39,-52.56
Estonia,26.0,59.0,Estonia,Estonie,6.14,61.32
Eswatini,31.5,-26.5,Eswatini,Eswatini,0.0,0.0
Ethiopia,40.0,9.0,Ethiopia,Ethiopie,-4.39,-96.36
Fiji,179.0,-18.0,Fiji,Fidji,0.0,0.0
Finland,26.0,64.0,Finland,Finlande,6.19,52.56
France,2.0,46.0,France (metropolitan),France,8.1,105.12
Gabon,11.0,0.5,Gabon,Gabon,-2.58,-43.8
Gambia,-16.0,13.0,The Republic of the Gambia,Gambie,-1.25,-26.28
Georgia,43.0,42.0,Georgia,Géorgie,3.13,43.8
Germany,10.0,51.0,Germany,Allemagne,11.16,122.64
Ghana,-2.0,8.0,Ghana,Ghana,-5.22,-96.36
Greece,22.0,39.0,Greece,Grèce,4.93,78.84
Grenada,-61.0,12.0,,Grenade,0.97,17.52
Guatemala,-90.0,15.0,Guatemala,Guatemala,0.45,8.76
Guinea,-10.0,10.0,Guinea,Guinee,-3.34,-70.08
Guinea-Bissau,-15.0,12.0,Guinea-Bissau,Guinée-Bissau,-3.51,-70.08
Guyana,-58.0,5.0,Guyana,Guyana,2.31,43.8
Haiti,-72.0,19.0,Haiti,Haïti,0.82,17.52
Honduras,-86.0,15.0,Honduras,Honduras,0.49,8.76
Hungary,20.0,47.0,Hungary,Hongrie,9.45,122.64
Iceland,-18.0,65.0,Iceland,Islande,-1.1,-8.76
India,78.0,21.0,India,Inde,-6.46,-122.64
Indonesia,120.0,-5.0,Indonesia,Indonésie,0.52,8.76
Iran,53.0,32.0,Iran (Islamic Republic of),Iran,-1.67,-35.04
Iraq,44.0,33.0,Iraq,Iraq,-1.75,-35.04
Ireland,-8.0,53.0,Ireland,Irlande,9.75,87.6
Israel,34.5,31.5,Israel,Israel,0.86,17.52
Italy,12.5,42.5,Italy,Italie,7.02,105.12
Jamaica,-77.0,18.0,Jamaica,Jamaïque,0.95,17.52
Japan,138.0,36.0,Japan,Japon,1.25,17.52
Jordan,36.0,31.0,Jordan,Jordanie,0.8,17.52
Kazakhstan,68.0,48.0,Kazakhstan,Kazakhstan,4.23,61.32
Kenya,38.0,1.0,Kenya,Kenya,-4.08,-87.6
Kiribati,173.0,1.0,,Kiribati,0.0,0.0
"Korea, North",127.0,40.0,Korea (Democratic People Republic of),Corée du Nord,0.0,0.0
"Korea, South",128.0,36.0,Republic of Korea,Corée du Sud,0.0,0.0
Kosovo,21.0,42.0,,Kosovo,7.26,105.12
Kuwait,47.0,29.5,Kuwait,Koweït,-2.92,-61.32
Kyrgyzstan,75.0,41.0,Kyrgyzstan,Kirghizistan,-0.53,-8.76
Laos,103.0,18.0,Lao People's Democratic Republic,Laos,0.0,0.0
Latvia,25.0,56.0,Latvia,Lettonie,10.53,105.12
Lebanon,35.0,33.0,Lebanon,Liban,1.28,26.28
Lesotho,28.0,-29.5,Lesotho,Lesotho,0.42,8.76
Liberia,-10.0,6.0,Liberia,Liberia,-5.36,-96.36
Libya,17.0,28.0,Libya,Libye,-1.95,-43.8
Liechtenstein,9.0,47.0,,Liechtenstein,10.23,122.64
Lithuania,24.0,55.0,Lithuania,Lituanie,10.03,105.12
Luxembourg,6.1,49.8,Luxembourg,Luxembourg,11.16,122.64
Madagascar,46.0,-20.0,Madagascar,Madagascar,1.2,26.28
Malawi,34.0,-13.0,Malawi,Malawi,1.25,26.28
Malaysia,101.0,4.0,Malaysia,Malaisie,1.03,17.52
Maldives,73.0,3.0,Maldives,Maldives,0.86,17.52
Mali,-4.0,17.0,Mali,Mali,-3.59,-78.84
Malta,14.4,35.9,Malta,Malte,3.32,61.32
Marshall Islands,171.0,8.0,,Iles Marshall,0.0,0.0
Mauritania,-10.0,20.0,Mauritania,Mauritanie,-1.99,-43.8
Mauritius,57.5,-20.3,Mauritius,Maurice,1.55,26.28
Mexico,-102.0,23.0,Mexico,Mexique,1.59,35.04
Micronesia,158.0,6.0,,Micronésie,0.0,0.0
Moldova,28.0,47.0,Moldova,Moldavie,9.45,122.64
Monaco,7.4,43.7,,Monaco,8.19,122.64
Mongolia,103.0,46.0,Mongolia,Mongolie,0.0,0.0
Montenegro,19.0,42.0,Montenegro,Monténégro,7.26,105.12
Morocco,-5.0,32.0,Morocco,Maroc,0.86,17.52
Mozambique,35.0,-18.0,Mozambique,Mozambique,0.0,0.0
Myanmar,96.0,22.0,Myanmar,Myanmar,-5.01,-87.6
Namibia,17.0,-22.0,Namibia,Namibie,0.0,0.0
Nauru,166.0,-0.5,,Nauru,0.0,0.0
Nepal,84.0,28.0,Nepal,Nepal,-6.02,-105.12
Netherlands,5.0,52.0,The Netherlands,Pays-Bas,11.7,122.64
New Zealand,174.0,-41.0,New Zealand,Nouvelle-Zélande,0.65,8.76
Nicaragua,-85.0,13.0,Nicaragua,Nicaragua,1.46,26.28
Niger,8.0,16.0,Niger,Niger,-3.05,-70.08
Nigeria,8.0,9.0,Nigeria,Nigeria,-5.4,-105.12
North Macedonia,21.0,41.0,North Macedonia,Macédoine du Nord,7.36,113.88
Norway,10.0,62.0,Norway,Norvège,2.92,26.28
Oman,57.0,21.0,Oman,Oman,-2.67,-61.32
Pakistan,70.0,30.0,Pakistan,Pakistan,-4.39,-87.6
Palau,134.0,7.0,,Palau,0.0,0.0
